liquidContract,spread1,spread2,spread3
IF1005,IF1006,IF1009,IF1012
IF1006,IF1007,IF1009,IF1012
IF1007,IF1008,IF1009,IF1012
IF1008,IF1009,IF1012,IF1103
IF1009,IF1010,IF1012,IF1103
IF1010,IF1011,IF1012,IF1103
IF1011,IF1012,IF1103,IF1106
IF1012,IF1101,IF1103,IF1106
IF1101,IF1102,IF1103,IF1106
IF1102,IF1103,IF1106,IF1109
IF1103,IF1104,IF1106,IF1109
IF1104,IF1105,IF1106,IF1109
IF1105,IF1106,IF1109,IF1112
IF1106,IF1107,IF1109,IF1112
IF1107,IF1108,IF1109,IF1112
IF1108,IF1109,IF1112,IF1203
IF1109,IF1110,IF1112,IF1203
IF1110,IF1111,IF1112,IF1203
IF1111,IF1112,IF1203,IF1206
IF1112,IF1201,IF1203,IF1206
IF1201,IF1202,IF1203,IF1206
IF1202,IF1203,IF1206,IF1209
IF1203,IF1204,IF1206,IF1209
IF1204,IF1205,IF1206,IF1209
IF1205,IF1206,IF1209,IF1212
IF1206,IF1207,IF1209,IF1212
IF1207,IF1208,IF1209,IF1212
IF1208,IF1209,IF1212,IF1303
IF1209,IF1210,IF1212,IF1303
IF1210,IF1211,IF1212,IF1303
IF1211,IF1212,IF1303,IF1306
IF1212,IF1301,IF1303,IF1306
IF1301,IF1302,IF1303,IF1306
IF1302,IF1303,IF1306,IF1309
IF1303,IF1304,IF1306,IF1309
IF1304,IF1305,IF1306,IF1309
IF1305,IF1306,IF1309,IF1312
IF1306,IF1307,IF1309,IF1312
IF1307,IF1308,IF1309,IF1312
IF1308,IF1309,IF1312,IF1403
IF1309,IF1310,IF1312,IF1403
IF1310,IF1311,IF1312,IF1403
IF1311,IF1312,IF1403,IF1406
IF1312,IF1401,IF1403,IF1406
IF1401,IF1402,IF1403,IF1406
IF1402,IF1403,IF1406,IF1409
IF1403,IF1404,IF1406,IF1409
IF1404,IF1405,IF1406,IF1409
IF1405,IF1406,IF1409,IF1412
IF1406,IF1407,IF1409,IF1412
IF1407,IF1408,IF1409,IF1412
IF1408,IF1409,IF1412,IF1503
IF1409,IF1410,IF1412,IF1503
IF1410,IF1411,IF1412,IF1503
IF1411,IF1412,IF1503,IF1506
IF1412,IF1501,IF1503,IF1506
IF1501,IF1502,IF1503,IF1506
IF1502,IF1503,IF1506,IF1509
IF1503,IF1504,IF1506,IF1509
